0	45	From where are the wind farms visible in Amsterdam
1	50	How many buildings are within 3 minutes of driving time from fire stations in Oleander
2	0	How many luxury hotels are in Happy Valley ski resort
3	14	How many streetlights for each district in San Diego
4	50	What are the areas within a four-minute drive of each fire station at 2 a.m. on Tuesday in Utrecht
5	1	What are the countries where literacy rates are rising or falling in Africa between 1990 and 2015
6	13	What are the four fire stations with shortest network-based paths to 1202 Twin Peaks Blvd in San Francisco
7	50	What are the four fire stations within 3 minutes of travel time from a fire in San Francisco
8	49	What are the housing districts outside 15 minutes driving time from COVID testing sites in Connecticut
9	14	What are the land use inside the flood zones in Oleander
10	35	What are the median household income within 1.5 miles of library branches in Palm city
11	3	What are the political leaning for each county in the United States
12	13	What are the two fire stations closest to each school in Utrecht
13	18	What are the vegetation areas larger than 6000 square meters in the Cape Peninsula
14	2	What are the vote totals of an election for each precinct in Dallas
15	8	What area are within 50 km from family physician services in Saskatchewan in Canada
16	36	What area do have elevation higher than 30 meters in Netherlands
17	8	What areas are at least 3000 meters from the rivers in Spain
18	8	What areas are inside 1000 foot of schools in El Cajon
19	34	What areas are minimum 3000 meters and maximum 5000 meters from the roads in UK
20	8	What areas are more than 5000 meters from the roads in Spain
21	6	What areas are not flood plain in Houston
22	6	What areas are green belt areas in Houston
23	6	What areas are not classified as flood plain in Houston
24	6	Tell me not flood plain area in Houston
25	6	What areas are not conatined as green belt areas in Houston
26	6	What areas are not green belt areas in Houston
27	0	What areas are not park in Houston
28	0	What areas are not wetlands in Houston
29	8	What areas are outside 150 meters from hospitals in Houston
30	8	What areas are outside 150 meters from schools in Houston
31	8	What areas are outside 155 meters from nature reserve districts in Houston
32	8	What areas are outside 250 meters of human settlement in the Cape Peninsula
33	8	What areas are outside 300 meters from streams in Houston
34	8	What areas are outside 3000 meters of the rivers in Spain
35	8	What areas are outside 5 km of water bodies in Assam in India
36	8	What areas are outside 5000 meters of the roads in Spain
37	8	What areas are outside 60 meters from residence in Houston
38	8	What areas are outside 60 meters from water body in Houston
39	8	What areas are within 10 miles of current transmission lines with a voltage greater than 400 in Colorado
40	58	What areas are within 10 minutes, 30 minutes, and 60 minutes of driving time from private hospitals in Sichuan in China
